HomeTeam,AwayTeam,HScore,AScore
Everton,Tottenham,0,0
Arsenal,Watford,1,0
Leeds,Leicester,1,1
Brighton,Newcastle,1,1
West Ham,Liverpool,3,2
Leicester,Chelsea,0,3
Wolves,West Ham,1,0
Watford,Manchester Utd,4,1
Norwich,Southampton,2,1
Newcastle,Brentford,3,3
Burnley,Crystal Palace,3,3
Aston Villa,Brighton,2,0
Liverpool,Arsenal,4,0
Manchester City,Everton,3,0
Tottenham,Leeds,2,1
Brighton,Leeds,0,0
Norwich,Wolves,0,0
Liverpool,Southampton,4,0
Crystal Palace,Aston Villa,1,2
Arsenal,Newcastle,2,0
Chelsea,Manchester Utd,1,1
Manchester City,West Ham,2,1
Leicester,Watford,4,2
Brentford,Everton,1,0
Leeds,Crystal Palace,1,0
Newcastle,Norwich,1,1
Everton,Liverpool,1,4
Aston Villa,Manchester City,1,2
Wolves,Burnley,0,0
West Ham,Brighton,1,1
Watford,Chelsea,1,2
Southampton,Leicester,2,2
Manchester Utd,Arsenal,3,2
Tottenham,Brentford,2,0
Watford,Manchester City,1,3
Wolves,Liverpool,0,1
Southampton,Brighton,1,1
Newcastle,Burnley,1,0
West Ham,Chelsea,3,2
Aston Villa,Leicester,2,1
Tottenham,Norwich,3,0
Manchester Utd,Crystal Palace,1,0
Leeds,Brentford,2,2
Everton,Arsenal,2,1
Brentford,Watford,2,1
Norwich,Manchester Utd,0,1
Liverpool,Aston Villa,1,0
Chelsea,Leeds,3,2
Arsenal,Southampton,3,0
Manchester City,Wolves,1,0
Crystal Palace,Everton,3,1
Leicester,Newcastle,4,0
Burnley,West Ham,0,0
Manchester City,Leeds,7,0
Norwich,Aston Villa,0,2
Arsenal,West Ham,2,0
Crystal Palace,Southampton,2,2
Brighton,Wolves,0,1
Liverpool,Newcastle,3,1
Chelsea,Everton,1,1
Leeds,Arsenal,1,4
Wolves,Chelsea,0,0
Newcastle,Manchester City,0,4
Tottenham,Liverpool,2,2
Aston Villa,Chelsea,1,3
West Ham,Southampton,2,3
Tottenham,Crystal Palace,3,0
Norwich,Arsenal,0,5
Manchester City,Leicester,6,3
Brighton,Brentford,2,0
Newcastle,Manchester Utd,1,1
Leicester,Liverpool,1,0
Watford,West Ham,1,4
Southampton,Tottenham,1,1
Crystal Palace,Norwich,3,0
Brentford,Manchester City,0,1
Chelsea,Brighton,1,1
Manchester Utd,Burnley,3,1
Crystal Palace,West Ham,2,3
Watford,Tottenham,0,1
Arsenal,Manchester City,1,2
Chelsea,Liverpool,2,2
Leeds,Burnley,3,1
Everton,Brighton,2,3
Brentford,Aston Villa,2,1
Manchester Utd,Wolves,0,1
Southampton,Brentford,4,1
West Ham,Norwich,2,0
Brighton,Crystal Palace,1,1
Aston Villa,Manchester Utd,2,2
Wolves,Southampton,3,1
Norwich,Everton,2,1
Newcastle,Watford,1,1
Manchester City,Chelsea,1,0
West Ham,Leeds,2,3
Liverpool,Brentford,3,0
Brighton,Chelsea,1,1
Brentford,Manchester Utd,1,3
Leicester,Tottenham,2,3
Watford,Norwich,0,3
Southampton,Manchester City,1,1
Manchester Utd,West Ham,1,0
Leeds,Newcastle,0,1
Brentford,Wolves,1,2
Everton,Aston Villa,0,1
Chelsea,Tottenham,2,0
Leicester,Brighton,1,1
Crystal Palace,Liverpool,1,3
Arsenal,Burnley,0,0
Burnley,Watford,0,0
West Ham,Watford,1,0
Newcastle,Everton,3,1
Burnley,Manchester Utd,1,1
